event_type,host_event_ns,link_id,task_id,ifname,thread_name,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
TX,19301494596799,3,0,can11,tx_can11,256,12,1000000,19301494529151,19301494596522,19301494596799,16,1,0,0
TX,19301494949576,0,0,can00,tx_can00,256,15,1000000,19301494839843,19301494949298,19301494949576,16,0,0,0
TX,19301494980483,2,0,can01,tx_can01,256,14,1000000,19301494896635,19301494980205,19301494980483,16,1,0,0
TX,19301495037797,2,1,can01,tx_can01,257,7,2000000,19301494896635,19301494980205,19301495037797,16,1,0,0
TX,19301495512444,1,0,can10,tx_can10,256,15,1000000,19301495441637,19301495512184,19301495512444,16,1,0,0
TX,19301495596295,3,0,can11,tx_can11,256,13,1000000,19301495529151,19301495596165,19301495596295,16,1,0,0
TX,19301495655295,3,1,can11,tx_can11,257,7,2000000,19301495529151,19301495596165,19301495655295,16,1,0,0
TX,19301495909664,0,0,can00,tx_can00,256,16,1000000,19301495839843,19301495909349,19301495909664,16,0,0,0
TX,19301495973256,0,1,can00,tx_can00,257,8,2000000,19301495839843,19301495909349,19301495973256,16,0,0,0
TX,19301496034219,2,0,can01,tx_can01,256,15,1000000,19301495896635,19301496033941,19301496034219,16,1,0,0
TX,19301496511865,1,0,can10,tx_can10,256,16,1000000,19301496441637,19301496511754,19301496511865,16,1,0,0
TX,19301496540143,1,1,can10,tx_can10,257,8,2000000,19301496441637,19301496511754,19301496540143,16,1,0,0
TX,19301496596291,3,0,can11,tx_can11,256,14,1000000,19301496529151,19301496596050,19301496596291,16,1,0,0
TX,19301496964623,0,0,can00,tx_can00,256,17,1000000,19301496839843,19301496964530,19301496964623,16,0,0,0
TX,19301496976567,2,0,can01,tx_can01,256,16,1000000,19301496896635,19301496976308,19301496976567,16,1,0,0
TX,19301497034233,2,1,can01,tx_can01,257,8,2000000,19301496896635,19301496976308,19301497034233,16,1,0,0
TX,19301497512398,1,0,can10,tx_can10,256,17,1000000,19301497441637,19301497512139,19301497512398,16,1,0,0
TX,19301497596416,3,0,can11,tx_can11,256,15,1000000,19301497529151,19301497596157,19301497596416,16,1,0,0
TX,19301497655694,3,1,can11,tx_can11,257,8,2000000,19301497529151,19301497596157,19301497655694,16,1,0,0
TX,19301497907248,0,0,can00,tx_can00,256,18,1000000,19301497839843,19301497907174,19301497907248,16,0,0,0
TX,19301497970415,0,1,can00,tx_can00,257,9,2000000,19301497839843,19301497907174,19301497970415,16,0,0,0
TX,19301498011433,2,0,can01,tx_can01,256,17,1000000,19301497896635,19301498011155,19301498011433,16,1,0,0
TX,19301498522875,1,0,can10,tx_can10,256,18,1000000,19301498441637,19301498522616,19301498522875,16,1,0,0
TX,19301498553857,1,1,can10,tx_can10,257,9,2000000,19301498441637,19301498522616,19301498553857,16,1,0,0
TX,19301498600042,3,0,can11,tx_can11,256,16,1000000,19301498529151,19301498599930,19301498600042,16,1,0,0
TX,19301498936577,0,0,can00,tx_can00,256,19,1000000,19301498839843,19301498936485,19301498936577,16,0,0,0
TX,19301499003818,2,0,can01,tx_can01,256,18,1000000,19301498896635,19301499003707,19301499003818,16,2,0,0
TX,19301499027077,2,1,can01,tx_can01,257,9,2000000,19301498896635,19301499003707,19301499027077,16,2,0,0
TX,19301499527593,1,0,can10,tx_can10,256,19,1000000,19301499441637,19301499527352,19301499527593,16,2,0,0
TX,19301499634722,3,0,can11,tx_can11,256,17,1000000,19301499529151,19301499634352,19301499634722,16,1,0,0
TX,19301499700833,3,1,can11,tx_can11,257,9,2000000,19301499529151,19301499634352,19301499700833,16,1,0,0
TX,19301499904425,0,0,can00,tx_can00,256,20,1000000,19301499839843,19301499904351,19301499904425,16,0,0,0
