exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
1,tx_can01,can01,0x210,24,1000000,6677957666108,6677957745408,6677957856926,16,2,0,0
1,tx_can00,can00,0x111,12,2000000,6677957655719,6677957889962,6677958032461,16,3,0,0
1,tx_can01,can01,0x211,12,2000000,6677957666108,6677957895314,6677958038054,16,2,0,0
1,tx_can00,can00,0x110,25,1000000,6677958655719,6677958735140,6677958843213,16,3,0,0
1,tx_can01,can01,0x210,25,1000000,6677958666108,6677958745325,6677958854491,16,2,0,0
1,tx_can00,can00,0x110,26,1000000,6677959655719,6677959734502,6677959842187,16,3,0,0
1,tx_can01,can01,0x210,26,1000000,6677959666108,6677959744632,6677959856446,16,2,0,0
1,tx_can00,can00,0x111,13,2000000,6677959655719,6677959889168,6677960053666,16,3,0,0
1,tx_can01,can01,0x211,13,2000000,6677959666108,6677959894871,6677960056722,16,2,0,0
1,tx_can00,can00,0x110,27,1000000,6677960655719,6677960734698,6677960843160,16,3,0,0
1,tx_can01,can01,0x210,27,1000000,6677960666108,6677960745383,6677960855437,16,2,0,0
1,tx_can00,can00,0x110,28,1000000,6677961655719,6677961734522,6677961842466,16,3,0,0
1,tx_can01,can01,0x210,28,1000000,6677961666108,6677961744967,6677961854299,16,2,0,0
1,tx_can00,can00,0x111,14,2000000,6677961655719,6677961889836,6677962032298,16,3,0,0
1,tx_can01,can01,0x211,14,2000000,6677961666108,6677961892521,6677962034575,16,2,0,0
1,tx_can00,can00,0x110,29,1000000,6677962655719,6677962734625,6677962842606,16,3,0,0
1,tx_can01,can01,0x210,29,1000000,6677962666108,6677962745570,6677962855754,16,2,0,0
1,tx_can00,can00,0x100,3,10000000,6677963655719,6677963734802,6677963842801,16,3,0,0
1,tx_can01,can01,0x200,3,10000000,6677963666108,6677963744857,6677963856523,16,2,0,0
1,tx_can00,can00,0x110,30,1000000,6677963655719,6677963889967,6677964054818,16,3,0,0
1,tx_can01,can01,0x210,30,1000000,6677963666108,6677963895282,6677964057281,16,2,0,0
1,tx_can00,can00,0x111,15,2000000,6677963655719,6677964106854,6677964243427,16,3,0,0
1,tx_can01,can01,0x211,15,2000000,6677963666108,6677964108595,6677964246742,16,2,0,0
1,tx_can00,can00,0x110,31,1000000,6677964655719,6677964734905,6677964842644,16,3,0,0
1,tx_can01,can01,0x210,31,1000000,6677964666108,6677964745979,6677964855774,16,2,0,0
1,tx_can00,can00,0x110,32,1000000,6677965655719,6677965734563,6677965842655,16,3,0,0
1,tx_can01,can01,0x210,32,1000000,6677965666108,6677965745526,6677965855117,16,2,0,0
1,tx_can00,can00,0x111,16,2000000,6677965655719,6677965889895,6677966030190,16,3,0,0
1,tx_can01,can01,0x211,16,2000000,6677965666108,6677965893339,6677966035634,16,2,0,0
1,tx_can00,can00,0x110,33,1000000,6677966655719,6677966734110,6677966844554,16,3,0,0
1,tx_can01,can01,0x210,33,1000000,6677966666108,6677966745665,6677966859127,16,2,0,0
1,tx_can00,can00,0x110,34,1000000,6677967655719,6677967734546,6677967842693,16,3,0,0
1,tx_can01,can01,0x210,34,1000000,6677967666108,6677967744435,6677967854638,16,2,0,0
1,tx_can00,can00,0x111,17,2000000,6677967655719,6677967889934,6677968056191,16,3,0,0
